name_track,artist_track,uri_track,popularity,tempo,genres,urlImage
Champagne Supernova - Remastered,Oasis,spotify:track:2A7GGXmTlXuH9LOvBXgOX4,66,150,"beatlesque, britpop, madchester, permanent wave, pop rock, rock",https://i.scdn.co/image/ab67616d000048517a4c8c59851c88f6794c3cbf
Amsterdam,Nothing But Thieves,spotify:track:454I78HEySdcHE8fcVabTb,65,168,"alternative pop rock, modern alternative rock, modern rock, rock",https://i.scdn.co/image/ab67616d0000485103598d18d77ffb1c9c250574
Mr. Brightside,The Killers,spotify:track:003vvx7Niy0yvhvHt4a68B,85,148,"alternative rock, dance rock, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851ccdddd46119a4ff53eaf1f5d
The Pretender,Foo Fighters,spotify:track:7x8dCjCr0x6x2lXKujYD34,77,173,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",https://i.scdn.co/image/ab67616d0000485183e260c313dc1ff1f17909cf
Black Hole Sun,Soundgarden,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,76,105,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",https://i.scdn.co/image/ab67616d00004851ae6d8e36136353d550b2587d
One,Metallica,spotify:track:5IX4TbIR5mMHGE4wiWwKW0,72,102,"hard rock, metal, old school thrash, rock, thrash metal",https://i.scdn.co/image/ab67616d000048517c05e69390ab7c628a83cee7
Witch Doctor,De Staat,spotify:track:3rSYcaSCxkKU4SpEVXQgFe,45,145,"dutch indie, dutch indie rock, dutch rock",https://i.scdn.co/image/ab67616d00004851e005529c0b3b0db95f7c2245
Heroes - 2017 Remaster,David Bowie,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,76,112,"classic rock, glam rock, rock",https://i.scdn.co/image/ab67616d00004851204f41d52743c6a9efd62985
Chop Suey!,System Of A Down,spotify:track:2DlHlPMa4M17kufBvI2lEN,82,127,"alternative metal, nu metal, rap metal",https://i.scdn.co/image/ab67616d0000485130d45198d0c9e8841f9a9578
Sabotage,Beastie Boys,spotify:track:0Puj4YlTm6xNzDDADXHMI9,73,168,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock",https://i.scdn.co/image/ab67616d00004851436a305db8bd85b820da3e5a
Would? (2022 Remaster),Alice In Chains,spotify:track:5sFDReWLrZHLFZFjHsjUTS,73,101,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",https://i.scdn.co/image/ab67616d000048511cd131e5e9ad887ad8c1ecb7
Iron Sky,Paolo Nutini,spotify:track:2bcC9Xyi40wnI7Od5uch31,63,140,"british soul, neo mellow, scottish singer-songwriter",https://i.scdn.co/image/ab67616d00004851320bc4821db88eff928c957b
In the End,Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,84,105,"alternative metal, nu metal, post-grunge, rap metal",https://i.scdn.co/image/ab67616d00004851e2f039481babe23658fc719a
Alive,Pearl Jam,spotify:track:1L94M3KIu7QluZe63g64rv,75,75,"alternative rock, grunge, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851d400d27cba05bb0545533864
Plug in Baby,Muse,spotify:track:2UKARCqDrhkYDoVR4FN5Wi,65,136,"puerto rican pop, trap latino",https://i.scdn.co/image/ab67616d000048515225e9931a558f6d2f541a7d
Paranoid Android,Radiohead,spotify:track:6LgJvl0Xdtc73RJ1mmpotq,69,164,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851c8b444df094279e70d0ed856
I Bet You Look Good On The Dancefloor,Arctic Monkeys,spotify:track:3DQVgcqaP3iSMbaKsd57l5,73,103,"garage rock, modern rock, permanent wave, rock, sheffield indie",https://i.scdn.co/image/ab67616d000048516b3fa88bdd4af566fbbf2bbf
Time To Give,White Lies,spotify:track:3xFGQGWOVVkeSAVIrYtb9D,44,120,kentucky hip hop,https://i.scdn.co/image/ab67616d00004851a4f5c5b3e291df6c0a44376a
Go With The Flow,Queens of the Stone Age,spotify:track:0wzRcekWyVCSyPtlPOeJau,67,159,"alternative metal, alternative rock, blues rock, modern rock, nu metal, palm desert scene, rock, stoner metal, stoner rock",https://i.scdn.co/image/ab67616d000048519eec33b045d88f87b9b06e67
Love Will Tear Us Apart,Joy Division,spotify:track:2JO3HwMRPeya8bXbtbyPcf,65,147,"alternative rock, art rock, madchester, new wave, post-punk, rock, uk post-punk",https://i.scdn.co/image/ab67616d0000485165792edb445d4a107dbe97fd
Strange Machines,The Gathering,spotify:track:51m9kUkrbufdmMl4ZBHcgR,42,131,"orchestral soundtrack, scorecore, video game music",https://i.scdn.co/image/ab67616d00004851bf83720ca7a5539a8b0be737
Under The Pressure,The War On Drugs,spotify:track:5j58jhAFzAy0keSuQYsQBn,57,134,"indie rock, philly indie",https://i.scdn.co/image/ab67616d00004851f34338e9270f9c0561cf4c7e
Lithium,Nirvana,spotify:track:5vHLwhxxlGzmClMcxRRFPr,71,123,"grunge, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851fbc71c99f9c1296c56dd51b6
Smokers Outside the Hospital Doors,Editors,spotify:track:2ibNhXeLiX8fm7KQtQUIgl,54,123,"alternative dance, britpop, indie rock, modern rock, rock",https://i.scdn.co/image/ab67616d000048513c0bb0a9ad6a2d81f268b22f
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,spotify:track:6GtX0jaNL8IjVQfrDBx81z,74,122,"alternative metal, alternative rock, grunge, permanent wave, pop rock, rock, spacegrunge",https://i.scdn.co/image/ab67616d00004851431ac6e6f393acf475730ec6
She Sells Sanctuary,The Cult,spotify:track:3qLZ866ZfaK0B0R5FIqXLG,70,139,"indie pop, stomp pop",https://i.scdn.co/image/ab67616d00004851bafa4476c5adb4741beb80fb
