"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres"
"spotify:track:4myScykPl3rZildA4lBrRE","SUPER MOON","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","spotify:album:68Zr6OxoIUu06It1t4Xgia","Adrastea","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","2014-12-29","https://i.scdn.co/image/ab67616d0000b273ba7f10eb7778638f0fa17fbb","1","3","518456","https://p.scdn.co/mp3-preview/8d274a82c68523eab4ea0ae1cb1975eed91dc4ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:josue123452002","2021-09-03T17:03:51Z","touhou"
"spotify:track:50kMCJMwHVJbQP77SueTJC","レディメイド・シティライフ","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","spotify:album:37OwHMer5ftjY4j4aDcAk6","RETRO FUTURE GIRLS","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","2013-12-30","https://i.scdn.co/image/ab67616d0000b273d682b1f5913c48d30c71f6d0","1","2","620626","https://p.scdn.co/mp3-preview/ba59ee526f9405ca57082cf75571307ae5aef4c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:josue123452002","2021-05-31T14:59:42Z","touhou"
"spotify:track:1SgdTBwmpBJ7XFkPcEDBkF","シンデレラは魔法使い","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","spotify:album:66yz069T4z0DZuU39SpMLV","ムソウマテリアライズ","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","2011-10-30","https://i.scdn.co/image/ab67616d0000b2739637677d550e858b4012ac08","1","6","516000","https://p.scdn.co/mp3-preview/1ae54199cef48243db95a0d2593008f625ac11e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:josue123452002","2021-05-31T14:59:45Z","touhou"
"spotify:track:0BGEQRsCm6VAxv1zuVxR47","賢者の極北(Nhato Remix)","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","spotify:album:1ojWZu6ktkCTW8zcRJLLqU","Sedecim","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","2015-11-01","https://i.scdn.co/image/ab67616d0000b2732d1cdd4c91cbfdc66d31358e","1","1","507626","https://p.scdn.co/mp3-preview/3490b3dac949ffd47d0119b2e26f11037cb0d2e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:josue123452002","2021-05-31T14:59:50Z","touhou"
"spotify:track:4y30rc80mbbIf3KU3s4zxv","雲がくれにし夜半の月かな","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","spotify:album:4soxrWgrFRicOkooiyqYIa","マジコカタストロフィ - Digital Edition","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","2012-12-30","https://i.scdn.co/image/ab67616d0000b273d23c8129753dc8e1a1661829","1","1","365644","https://p.scdn.co/mp3-preview/5fc4488f749e080282dfc985a78fda7c08d71ec3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:josue123452002","2021-05-31T15:00:00Z","touhou"
"spotify:track:7v25NVhjRtabtyZd1VOgKF","Fall in the Dark","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","spotify:album:4soxrWgrFRicOkooiyqYIa","マジコカタストロフィ - Digital Edition","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","2012-12-30","https://i.scdn.co/image/ab67616d0000b273d23c8129753dc8e1a1661829","1","2","560953","https://p.scdn.co/mp3-preview/a9103ed9eb5f310e58e8bd1133004d4d7c408d19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:josue123452002","2021-05-31T15:00:04Z","touhou"
"spotify:track:4jYtpD65IdO8nehHne3Pmf","じたくふぁんたじあ","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","spotify:album:24q3fmfpdaMI3GAYS1UZYa","Broad Border","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","2019-12-31","https://i.scdn.co/image/ab67616d0000b27390d9ec29380f0e8a3bc9c21a","1","6","285978","https://p.scdn.co/mp3-preview/e4ac829d32df71c119984175e897d81242fac25f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:josue123452002","2021-06-08T15:13:19Z","touhou"
"spotify:track:5LHd7HZD2JmTND0Z6QRcB5","月齢11.3のキャンドルマジック","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","spotify:album:1ByiXrVz2tLbjs0Lk4pyGo","ココロバイブレーション","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","2010-12-30","https://i.scdn.co/image/ab67616d0000b2735bd293cff265d24b7d159f3a","1","6","392187","https://p.scdn.co/mp3-preview/0d09e09864f5b6df729b5e73b04d45494762d26c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:josue123452002","2021-06-22T18:18:29Z","touhou"
"spotify:track:2Blct4hMlHLY0DZozzgYfF","雨はりらりら","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","spotify:album:4soxrWgrFRicOkooiyqYIa","マジコカタストロフィ - Digital Edition","spotify:artist:0h8tSYXnFjmrLdUSGOKNSX","ShibayanRecords","2012-12-30","https://i.scdn.co/image/ab67616d0000b273d23c8129753dc8e1a1661829","1","5","489000","https://p.scdn.co/mp3-preview/de0bd69dc8faaeadb074f4ac625229fe27421fa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:josue123452002","2021-11-12T16:13:10Z","touhou"
"spotify:track:4T6FWA703h6H7zk1FoSARw","New Light","spotify:artist:0hEurMDQu99nJRq8pTxO14","John Mayer","spotify:album:2JmfwvRDitJlTUoLCkp61z","Sob Rock","spotify:artist:0hEurMDQu99nJRq8pTxO14","John Mayer","2021-07-16","https://i.scdn.co/image/ab67616d0000b273779063301154e835a91a35e0","1","3","217426","https://p.scdn.co/mp3-preview/585e714567e0a74903aaf3f2f6f6286aa1da985d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:josue123452002","2022-10-22T16:15:46Z","neo mellow,singer-songwriter"
