name_track,artist_track,uri_track,popularity,danceability
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,spotify:track:7nemcVsXVFZF01iqpIIo2Y,72,46
Rock 'N' Roll Singer,AC/DC,spotify:track:65Wa8Fu1ASV3B0dz2vwKNQ,55,64
The Jack,AC/DC,spotify:track:3k1WwLG1OXCm6iQ13VrJEL,57,65
Can I Sit Next to You Girl,AC/DC,spotify:track:75uv44LGpyL0DhyLli3aXh,48,57
High Voltage,AC/DC,spotify:track:5pLgH1bCkBV3bbmvm0qvom,60,56
Rocker,AC/DC,spotify:track:4eutZb21bHZerJnxqW5lB0,46,43
Ride On,AC/DC,spotify:track:594ONMYoHlJnqHPEx98t08,57,73
Let There Be Rock,AC/DC,spotify:track:753KutoAy00apPsplMRetG,64,33
Problem Child,AC/DC,spotify:track:5wTuWXWREngkFGtBXhOaI9,54,44
Rock 'N' Roll Damnation,AC/DC,spotify:track:2308VPPaMh7Q3AX1Zap99A,55,52
Down Payment Blues,AC/DC,spotify:track:4TJzAQN4lSRLMafylE0c4a,44,49
"Whole Lotta Rosie - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",AC/DC,spotify:track:23t7CA5Oa5D1gRXyQL7wm8,40,26
Highway to Hell,AC/DC,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,84,57
Touch Too Much,AC/DC,spotify:track:2j0zExWFB0PowLOeoZosjK,63,52
Get It Hot,AC/DC,spotify:track:7HbHwtTGM3kCjDtmP00x4h,49,65
If You Want Blood (You've Got It),AC/DC,spotify:track:7zscdQe9CjzXnqT3P1Ey7K,64,49
Night Prowler,AC/DC,spotify:track:7w04gIWA7mIbqR03Ghyrkl,51,25
Jailbreak,AC/DC,spotify:track:5UKeFkVeUfvP6S43I8s9mt,61,57
"Baby, Please Don't Go",AC/DC,spotify:track:1jyznfH2Lp3TrIHx5cFQwv,45,58
Shoot to Thrill,AC/DC,spotify:track:0C80GCp0mMuBzLf3EAXqxv,73,46
Rock and Roll Ain't Noise Pollution,AC/DC,spotify:track:6J17MkMmuzBiIOjRH6MOBZ,64,58
Hard as a Rock,AC/DC,spotify:track:1gij27s31tFKcTHa8f1u4g,61,48
Mama Kin,Aerosmith,spotify:track:7Id8Qi0oQMV8J78fdtuZxo,51,43
Same Old Song and Dance,Aerosmith,spotify:track:2ATTIE0sKIXysApJPlR3sB,54,56
Toys In The Attic,Aerosmith,spotify:track:4pj8ElgSWmmy5LT9a7jb0s,51,22
Sweet Emotion,Aerosmith,spotify:track:24NwBd5vZ2CK8VOQVnqdxr,74,38
Last Child,Aerosmith,spotify:track:5jH8ecmEyX08pQ06T0h6ly,52,52
Kings And Queens,Aerosmith,spotify:track:33fNAtcL4IKU5kei0P4psq,45,35
"Oh, Pretty Woman",Albert King,spotify:track:1rFzuTL45nzwhcXMVW5Cr4,26,72
Born Under A Bad Sign,Albert King,spotify:track:0vDn81gdOuRxjbIwcASuiV,41,69
All Your Love,Otis Rush,spotify:track:25HWUNgt3uyX6bncFBUYHW,27,65
You Know My Love,Otis Rush,spotify:track:3ZzuD4WjSQMP9D9XvkrxSD,23,50
Man in the Box,Alice In Chains,spotify:track:6gZVQvQZOFpzIy3HblJ20F,75,36
Them Bones (2022 Remaster),Alice In Chains,spotify:track:4A065x9kJt955eGVqf813g,69,16
Rooster (2022 Remaster),Alice In Chains,spotify:track:0wvIGFIgbyz4JNwQhZgTv2,71,27
Would? (2022 Remaster),Alice In Chains,spotify:track:5sFDReWLrZHLFZFjHsjUTS,73,30
Whipping Post,Allman Brothers Band,spotify:track:701oRFDRzsz3WdhCFOtUJj,55,32
Revival,Allman Brothers Band,spotify:track:7CopJCaFaOsTrNpZanANip,43,63
Don't Keep Me Wonderin',Allman Brothers Band,spotify:track:6YkiMWh1YENUwhu5AbdOMo,35,44
Midnight Rider,Allman Brothers Band,spotify:track:1hHGUdFaiJHw9hVZGJWYO2,73,58
In Memory Of Elizabeth Reed,Allman Brothers Band,spotify:track:23KUlJNvJmKrRVmo3XBvxM,49,38
Hoochie Coochie Man,Allman Brothers Band,spotify:track:3LLzB2aE2M4SDvnsMCu4I6,34,37
Please Call Home,Allman Brothers Band,spotify:track:1WmJN61QDECYeW9aFckoVW,38,40
Leave My Blues At Home,Allman Brothers Band,spotify:track:5wm9bazj8WOPM9QGy3lhth,28,53
"Statesboro Blues - Live At Fillmore East, March 13, 1971",Allman Brothers Band,spotify:track:1BnfAYVesByA18sA9EAGiI,50,49
"Done Somebody Wrong - Live At The Fillmore East, March 1971",Allman Brothers Band,spotify:track:0WDsLvL9DKjj3qjed4IBa0,39,49
"In Memory Of Elizabeth Reed - Live At Fillmore East, March 12, 1971",Allman Brothers Band,spotify:track:4c9FL7GiiiB3HB6XnLERws,34,37
Ain't Wastin' Time No More,Allman Brothers Band,spotify:track:4euYSSvpQZSAQ4gThyL2QD,57,45
Les Brers In A Minor,Allman Brothers Band,spotify:track:1Ir0qn7wNZ636Q4WUHKZZp,38,31
Melissa,Allman Brothers Band,spotify:track:30St98Bok3jJmXdkkHVPQe,61,53
"One Way Out - Live At Fillmore East, June 27, 1971",Allman Brothers Band,spotify:track:2yeYpHdw8IvG0QxrkfxJ2F,36,54
"Trouble No More - Live At The Fillmore East, March 12 & 13, 1971",Allman Brothers Band,spotify:track:3i5m63j2chfkDu3qmcb9m3,31,51
Stand Back,Allman Brothers Band,spotify:track:6l6ObuVjdZbc900Q2WgO7K,39,58
Blue Sky,Allman Brothers Band,spotify:track:6iX1QW1gGIVNEItnqyvFfH,61,49
